Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2000_1,2001_1,2002_1,2003_1,2004_1,2005_1,2006_1,2007_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,Avg_Ann_Growth_rate
E09000030,Tower Hamlets,14200,16500,19100,19300,18300,19200,19800,19400,21200,24500,24000,24700,25800,27000,26600,28900,0.161971831,0.157575758,0.010471204,-0.051813472,0.049180328,0.03125,-0.02020202,0.092783505,0.155660377,-0.020408163,0.029166667,0.044534413,0.046511628,-0.014814815,0.086466165,1.045413475
E09000031,Waltham Forest,15000,15100,16600,17200,16800,16600,17700,17900,18200,20600,19700,20300,21400,21900,22700,23900,0.006666667,0.099337748,0.036144578,-0.023255814,-0.011904762,0.06626506,0.011299435,0.016759777,0.131868132,-0.04368932,0.030456853,0.054187192,0.023364486,0.03652968,0.052863436,1.02954223
E09000032,Wandsworth,18100,21000,21700,22000,22600,22000,24500,25300,26100,29200,29000,29400,31000,31900,32900,34200,0.160220994,0.033333333,0.013824885,0.027272727,-0.026548673,0.113636364,0.032653061,0.031620553,0.118773946,-0.006849315,0.013793103,0.054421769,0.029032258,0.031347962,0.039513678,1.040571006
E09000033,Westminster,17300,23000,21900,22800,23500,23100,27100,27000,29200,31900,31400,32400,35200,36400,35100,37800,0.329479769,-0.047826087,0.04109589,0.030701754,-0.017021277,0.173160173,-0.003690037,0.081481481,0.092465753,-0.015673981,0.031847134,0.086419753,0.034090909,-0.035714286,0.076923077,1.050063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,12900,13200,14200,14400,14800,15000,15500,16300,17100,18400,18000,19100,19700,20400,20800,21500,0.023255814,0.075757576,0.014084507,0.027777778,0.013513514,0.033333333,0.051612903,0.049079755,0.076023392,-0.02173913,0.061111111,0.031413613,0.035532995,0.019607843,0.033653846,1.032441723
E12000002,North West,13500,13900,14600,14900,14900,15500,16100,16600,17400,18500,18400,19200,19700,20600,21100,21900,0.02962963,0.050359712,0.020547945,0,0.040268456,0.038709677,0.031055901,0.048192771,0.063218391,-0.005405405,0.043478261,0.026041667,0.045685279,0.024271845,0.037914692,1.0306991
E12000003,Yorkshire and The Humber,13400,13600,14600,14600,15100,15500,16200,16600,17400,18200,18200,19000,19600,20400,21000,21500,0.014925373,0.073529412,0,0.034246575,0.026490066,0.04516129,0.024691358,0.048192771,0.045977011,0,0.043956044,0.031578947,0.040816327,0.029411765,0.023809524,1.02999082
E12000004,East Midlands,13900,13900,14500,15200,15400,15900,16600,17000,17900,18500,18800,19300,19900,20800,21200,22100,0,0.043165468,0.048275862,0.013157895,0.032467532,0.044025157,0.024096386,0.052941176,0.033519553,0.016216216,0.026595745,0.031088083,0.045226131,0.019230769,0.04245283,1.02940457
E12000005,West Midlands,13800,14300,14800,15300,15400,15900,16400,17000,17600,18600,18400,19400,19900,20500,20900,21900,0.036231884,0.034965035,0.033783784,0.006535948,0.032467532,0.031446541,0.036585366,0.035294118,0.056818182,-0.010752688,0.054347826,0.025773196,0.030150754,0.019512195,0.04784689,1.029284219
